--------------------------------------------------------------------------------
Process Logger 2019-04-25 23:38:16.030481
--------------------------------------------------------------------------------
{'vms': 0.0, 'username': 'root', 'pid': 359, 'name': 'loop2'}
{'vms': 0.0, 'username': 'root', 'pid': 520, 'name': 'kworker/2:1H'}
{'vms': 0.0, 'username': 'root', 'pid': 521, 'name': 'kworker/u17:1'}
{'vms': 0.0, 'username': 'root', 'pid': 528, 'name': 'cfg80211'}
{'vms': 0.0, 'username': 'root', 'pid': 543, 'name': 'irq/51-DELL0810'}
{'vms': 0.0, 'username': 'root', 'pid': 561, 'name': 'ath10k_wq'}
{'vms': 0.0, 'username': 'root', 'pid': 562, 'name': 'ath10k_aux_wq'}
{'vms': 0.0, 'username': 'root', 'pid': 578, 'name': 'kmemstick'}
{'vms': 0.0, 'username': 'root', 'pid': 772, 'name': 'jbd2/sda9-8'}
{'vms': 0.0, 'username': 'root', 'pid': 773, 'name': 'ext4-rsv-conver'}
{'vms': 99.984375, 'username': 'systemd-timesync', 'pid': 864, 'name': 'systemd-timesyncd'}
{'vms': 162.53125, 'username': 'root', 'pid': 952, 'name': 'thermald'}
{'vms': 43.85546875, 'username': 'avahi', 'pid': 954, 'name': 'avahi-daemon'}
{'vms': 403.828125, 'username': 'root', 'pid': 956, 'name': 'ModemManager'}
{'vms': 250.3828125, 'username': 'syslog', 'pid': 963, 'name': 'rsyslogd'}
{'vms': 27.96875, 'username': 'root', 'pid': 966, 'name': 'systemd-logind'}
{'vms': 269.4140625, 'username': 'root', 'pid': 974, 'name': 'accounts-daemon'}
{'vms': 43.3125, 'username': 'messagebus', 'pid': 975, 'name': 'dbus-daemon'}
{'vms': 43.734375, 'username': 'avahi', 'pid': 976, 'name': 'avahi-daemon'}
{'vms': 438.92578125, 'username': 'root', 'pid': 1005, 'name': 'NetworkManager'}
{'vms': 31.3125, 'username': 'root', 'pid': 1006, 'name': 'bluetoothd'}
{'vms': 690.76171875, 'username': 'root', 'pid': 1007, 'name': 'snapd'}
{'vms': 28.328125, 'username': 'root', 'pid': 1024, 'name': 'cron'}
{'vms': 4.29296875, 'username': 'root', 'pid': 1026, 'name': 'acpid'}
{'vms': 342.1953125, 'username': 'root', 'pid': 1122, 'name': 'lightdm'}
{'vms': 19.0703125, 'username': 'root', 'pid': 1131, 'name': 'irqbalance'}
{'vms': 275.3359375, 'username': 'root', 'pid': 1143, 'name': 'polkitd'}
{'vms': 922.8515625, 'username': 'root', 'pid': 1145, 'name': 'Xorg'}
{'vms': 4.3984375, 'username': 'tomcat', 'pid': 1172, 'name': 'catalina.sh'}
{'vms': 5947.06640625, 'username': 'tomcat', 'pid': 1173, 'name': 'java'}
{'vms': 43.0, 'username': 'root', 'pid': 1236, 'name': 'wpa_supplicant'}
{'vms': 179.2421875, 'username': 'rtkit', 'pid': 1416, 'name': 'rtkit-daemon'}
{'vms': 0.0, 'username': 'root', 'pid': 1435, 'name': 'krfcommd'}
{'vms': 365.234375, 'username': 'whoopsie', 'pid': 1454, 'name': 'whoopsie'}
{'vms': 15.5625, 'username': 'root', 'pid': 1480, 'name': 'agetty'}
{'vms': 245.66796875, 'username': 'root', 'pid': 1540, 'name': 'apache2'}
{'vms': 224.90625, 'username': 'root', 'pid': 1571, 'name': 'lightdm'}
{'vms': 44.33203125, 'username': 'dell', 'pid': 1590, 'name': 'systemd'}
{'vms': 205.9609375, 'username': 'dell', 'pid': 1591, 'name': '(sd-pam)'}
{'vms': 200.3984375, 'username': 'dell', 'pid': 1596, 'name': 'gnome-keyring-daemon'}
{'vms': 45.38671875, 'username': 'dell', 'pid': 1612, 'name': 'upstart'}
{'vms': 43.5, 'username': 'dell', 'pid': 1703, 'name': 'dbus-daemon'}
{'vms': 84.3203125, 'username': 'dell', 'pid': 1715, 'name': 'window-stack-bridge'}
{'vms': 340.7421875, 'username': 'dell', 'pid': 1741, 'name': 'ibus-daemon'}
{'vms': 32.08984375, 'username': 'dell', 'pid': 1745, 'name': 'upstart-udev-bridge'}
{'vms': 268.08984375, 'username': 'dell', 'pid': 1763, 'name': 'gvfsd'}
{'vms': 397.328125, 'username': 'dell', 'pid': 1768, 'name': 'gvfsd-fuse'}
{'vms': 258.07421875, 'username': 'dell', 'pid': 1779, 'name': 'ibus-dconf'}
{'vms': 466.2890625, 'username': 'dell', 'pid': 1785, 'name': 'ibus-ui-gtk3'}
{'vms': 417.7734375, 'username': 'dell', 'pid': 1789, 'name': 'ibus-x11'}
{'vms': 512.9921875, 'username': 'dell', 'pid': 1794, 'name': 'bamfdaemon'}
{'vms': 32.0234375, 'username': 'dell', 'pid': 1796, 'name': 'upstart-dbus-bridge'}
{'vms': 32.0234375, 'username': 'dell', 'pid': 1798, 'name': 'upstart-dbus-bridge'}
{'vms': 40.31640625, 'username': 'dell', 'pid': 1802, 'name': 'upstart-file-bridge'}
{'vms': 51.625, 'username': 'nobody', 'pid': 1818, 'name': 'dnsmasq'}
{'vms': 183.97265625, 'username': 'dell', 'pid': 1852, 'name': 'ibus-engine-simple'}
{'vms': 162.6328125, 'username': 'dell', 'pid': 1857, 'name': 'gpg-agent'}
{'vms': 641.375, 'username': 'dell', 'pid': 1976, 'name': 'hud-service'}
{'vms': 916.9296875, 'username': 'dell', 'pid': 1978, 'name': 'unity-settings-daemon'}
{'vms': 330.1015625, 'username': 'dell', 'pid': 1991, 'name': 'at-spi-bus-launcher'}
{'vms': 553.6015625, 'username': 'dell', 'pid': 1992, 'name': 'gnome-session-binary'}
{'vms': 41.8828125, 'username': 'dell', 'pid': 1998, 'name': 'dbus-daemon'}
{'vms': 555.18359375, 'username': 'dell', 'pid': 2009, 'name': 'unity-panel-service'}
{'vms': 339.234375, 'username': 'root', 'pid': 2013, 'name': 'upowerd'}
{'vms': 202.01171875, 'username': 'dell', 'pid': 2015, 'name': 'at-spi2-registryd'}
{'vms': 346.12890625, 'username': 'dell', 'pid': 2060, 'name': 'indicator-messages-service'}
{'vms': 397.59765625, 'username': 'dell', 'pid': 2061, 'name': 'indicator-bluetooth-service'}
{'vms': 556.6640625, 'username': 'dell', 'pid': 2062, 'name': 'indicator-power-service'}
{'vms': 1332.04296875, 'username': 'dell', 'pid': 2065, 'name': 'indicator-datetime-service'}
{'vms': 697.87890625, 'username': 'dell', 'pid': 2068, 'name': 'indicator-keyboard-service'}
{'vms': 648.1171875, 'username': 'dell', 'pid': 2073, 'name': 'indicator-sound-service'}
{'vms': 534.68359375, 'username': 'dell', 'pid': 2074, 'name': 'indicator-printers-service'}
{'vms': 930.55859375, 'username': 'dell', 'pid': 2075, 'name': 'indicator-session-service'}
{'vms': 489.1171875, 'username': 'dell', 'pid': 2101, 'name': 'pulseaudio'}
{'vms': 393.69921875, 'username': 'dell', 'pid': 2113, 'name': 'indicator-application-service'}
{'vms': 174.6015625, 'username': 'dell', 'pid': 2125, 'name': 'dconf-service'}
{'vms': 1213.7734375, 'username': 'dell', 'pid': 2132, 'name': 'evolution-source-registry'}
{'vms': 21.84375, 'username': 'dell', 'pid': 2157, 'name': 'syndaemon'}
{'vms': 893.4609375, 'username': 'dell', 'pid': 2172, 'name': 'tracker-miner-fs'}
{'vms': 563.328125, 'username': 'dell', 'pid': 2173, 'name': 'unity-fallback-mount-helper'}
{'vms': 1375.35546875, 'username': 'dell', 'pid': 2174, 'name': 'gnome-software'}
{'vms': 1242.0546875, 'username': 'dell', 'pid': 2178, 'name': 'nm-applet'}
{'vms': 419.28515625, 'username': 'dell', 'pid': 2179, 'name': 'polkit-gnome-authentication-agent-1'}
{'vms': 1377.1484375, 'username': 'dell', 'pid': 2187, 'name': 'nautilus'}
{'vms': 318.984375, 'username': 'dell', 'pid': 2191, 'name': 'tracker-miner-user-guides'}
{'vms': 435.98828125, 'username': 'dell', 'pid': 2201, 'name': 'tracker-store'}
{'vms': 1127.62109375, 'username': 'dell', 'pid': 2223, 'name': 'tracker-extract'}
{'vms': 294.05859375, 'username': 'colord', 'pid': 2226, 'name': 'colord'}
{'vms': 685.6796875, 'username': 'dell', 'pid': 2229, 'name': 'tracker-miner-apps'}
{'vms': 1285.8984375, 'username': 'dell', 'pid': 2239, 'name': 'compiz'}
{'vms': 517.4609375, 'username': 'root', 'pid': 2268, 'name': 'fwupd'}
{'vms': 842.890625, 'username': 'dell', 'pid': 2272, 'name': 'evolution-calendar-factory'}
