--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 952, 'username': 'root', 'vms': 162.53125, 'name': 'thermald'}
{'pid': 954, 'username': 'avahi', 'vms': 43.85546875, 'name': 'avahi-daemon'}
{'pid': 956, 'username': 'root', 'vms': 403.828125, 'name': 'ModemManager'}
{'pid': 963, 'username': 'syslog', 'vms': 250.3828125, 'name': 'rsyslogd'}
{'pid': 966, 'username': 'root', 'vms': 27.96875, 'name': 'systemd-logind'}
{'pid': 974, 'username': 'root', 'vms': 269.4140625, 'name': 'accounts-daemon'}
{'pid': 975, 'username': 'messagebus', 'vms': 43.3125, 'name': 'dbus-daemon'}
{'pid': 976, 'username': 'avahi', 'vms': 43.734375, 'name': 'avahi-daemon'}
{'pid': 1005, 'username': 'root', 'vms': 438.92578125, 'name': 'NetworkManager'}
{'pid': 1006, 'username': 'root', 'vms': 31.3125, 'name': 'bluetoothd'}
{'pid': 1007, 'username': 'root', 'vms': 690.76171875, 'name': 'snapd'}
{'pid': 1024, 'username': 'root', 'vms': 28.328125, 'name': 'cron'}
{'pid': 1026, 'username': 'root', 'vms': 4.29296875, 'name': 'acpid'}
{'pid': 1122, 'username': 'root', 'vms': 342.1953125, 'name': 'lightdm'}
{'pid': 1131, 'username': 'root', 'vms': 19.0703125, 'name': 'irqbalance'}
{'pid': 1143, 'username': 'root', 'vms': 275.3359375, 'name': 'polkitd'}
{'pid': 1145, 'username': 'root', 'vms': 924.58984375, 'name': 'Xorg'}
{'pid': 1172, 'username': 'tomcat', 'vms': 4.3984375, 'name': 'catalina.sh'}
{'pid': 1173, 'username': 'tomcat', 'vms': 5947.06640625, 'name': 'java'}
{'pid': 1236, 'username': 'root', 'vms': 43.0, 'name': 'wpa_supplicant'}
{'pid': 1416, 'username': 'rtkit', 'vms': 179.2421875, 'name': 'rtkit-daemon'}
{'pid': 1435, 'username': 'root', 'vms': 0.0, 'name': 'krfcommd'}
{'pid': 1454, 'username': 'whoopsie', 'vms': 365.234375, 'name': 'whoopsie'}
{'pid': 1480, 'username': 'root', 'vms': 15.5625, 'name': 'agetty'}
{'pid': 1540, 'username': 'root', 'vms': 245.66796875, 'name': 'apache2'}
{'pid': 1571, 'username': 'root', 'vms': 224.90625, 'name': 'lightdm'}
{'pid': 1590, 'username': 'dell', 'vms': 44.33203125, 'name': 'systemd'}
{'pid': 1591, 'username': 'dell', 'vms': 205.9609375, 'name': '(sd-pam)'}
{'pid': 1596, 'username': 'dell', 'vms': 200.3984375, 'name': 'gnome-keyring-daemon'}
{'pid': 1612, 'username': 'dell', 'vms': 45.38671875, 'name': 'upstart'}
{'pid': 1703, 'username': 'dell', 'vms': 43.5, 'name': 'dbus-daemon'}
{'pid': 1715, 'username': 'dell', 'vms': 84.3203125, 'name': 'window-stack-bridge'}
{'pid': 1741, 'username': 'dell', 'vms': 340.8515625, 'name': 'ibus-daemon'}
{'pid': 1745, 'username': 'dell', 'vms': 32.08984375, 'name': 'upstart-udev-bridge'}
{'pid': 1763, 'username': 'dell', 'vms': 268.08984375, 'name': 'gvfsd'}
